accession	locus	organism	mol_type	strain	country	location	continent	collection_date.y	collection_date.m	collection_date.d	host	isolation_source	isolate	length	N	M	F	HN	L	NP	P	D
EU814625.1	EU814625	Human respirovirus 3	viral cRNA	DEL/w32/05	India	NA	Asia	2005	8	31	Homo sapiens	NA	NA	1719	0	0	0	100	0	0	0	0
EU814626.1	EU814626	Human respirovirus 3	viral cRNA	DEL/139/05	India	NA	Asia	2005	8	31	Homo sapiens	NA	NA	1719	0	0	0	100	0	0	0	0
FJ455842.2	FJ455842	Human respirovirus 3	viral cRNA	LZ22	China	Lanzhou, Gansu	Asia	2003	12	NA	Homo sapiens	low respiratory tract secretion from	NA	15462	100	100	100	100	100	100	100	100
FV537054.1	FV537054	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15462	0	0	0	0	0	0	0	0
FV537055.1	FV537055	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15462	0	0	0	0	0	0	0	0
FV537056.1	FV537056	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15462	0	0	0	0	0	0	0	0
FV537057.1	FV537057	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15462	0	0	0	0	0	0	0	0
FW505343.1	FW505343	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	0	0	0	0	0	0	0	0
FW505344.1	FW505344	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	0	0	0	0	0	0	0	0
GN353692.1	GN353692	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353693.1	GN353693	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353694.1	GN353694	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353695.1	GN353695	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353696.1	GN353696	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353697.1	GN353697	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353698.1	GN353698	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353699.1	GN353699	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353700.1	GN353700	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353701.1	GN353701	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353702.1	GN353702	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353703.1	GN353703	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353704.1	GN353704	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353705.1	GN353705	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353706.1	GN353706	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GN353707.1	GN353707	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	0	0	0	0	0.895255148	0	0	0
GU732130.1	GU732130	Human respirovirus 3	viral cRNA	BJ/001/08	China	Beijing	Asia	2008	5	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732131.1	GU732131	Human respirovirus 3	viral cRNA	BJ/002/08	China	Beijing	Asia	2008	5	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732132.1	GU732132	Human respirovirus 3	viral cRNA	BJ/005/08	China	Beijing	Asia	2008	6	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732133.1	GU732133	Human respirovirus 3	viral cRNA	BJ/006/08	China	Beijing	Asia	2008	6	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732134.1	GU732134	Human respirovirus 3	viral cRNA	BJ/009/08	China	Beijing	Asia	2008	6	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732135.1	GU732135	Human respirovirus 3	viral cRNA	BJ/012/08	China	Beijing	Asia	2008	7	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732136.1	GU732136	Human respirovirus 3	viral cRNA	BJ/014/08	China	Beijing	Asia	2008	7	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732137.1	GU732137	Human respirovirus 3	viral cRNA	BJ/020/08	China	Beijing	Asia	2008	9	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732138.1	GU732138	Human respirovirus 3	viral cRNA	BJ/023/08	China	Beijing	Asia	2008	9	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732139.1	GU732139	Human respirovirus 3	viral cRNA	BJ/036/08	China	Beijing	Asia	2008	10	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732140.1	GU732140	Human respirovirus 3	viral cRNA	BJ/037/08	China	Beijing	Asia	2008	11	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732141.1	GU732141	Human respirovirus 3	viral cRNA	BJ/059/08	China	Beijing	Asia	2008	12	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732142.1	GU732142	Human respirovirus 3	viral cRNA	BJ/108/09	China	Beijing	Asia	2009	1	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732143.1	GU732143	Human respirovirus 3	viral cRNA	BJ/129/09	China	Beijing	Asia	2009	2	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732144.1	GU732144	Human respirovirus 3	viral cRNA	BJ/138/09	China	Beijing	Asia	2009	2	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732145.1	GU732145	Human respirovirus 3	viral cRNA	BJ/156/09	China	Beijing	Asia	2009	2	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732146.1	GU732146	Human respirovirus 3	viral cRNA	BJ/189/09	China	Beijing	Asia	2009	3	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732147.1	GU732147	Human respirovirus 3	viral cRNA	BJ/194/09	China	Beijing	Asia	2009	3	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732148.1	GU732148	Human respirovirus 3	viral cRNA	BJ/209/09	China	Beijing	Asia	2009	3	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732149.1	GU732149	Human respirovirus 3	viral cRNA	BJ/232/09	China	Beijing	Asia	2009	3	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732150.1	GU732150	Human respirovirus 3	viral cRNA	BJ/236/09	China	Beijing	Asia	2009	4	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732151.1	GU732151	Human respirovirus 3	viral cRNA	BJ/247/09	China	Beijing	Asia	2009	4	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732152.1	GU732152	Human respirovirus 3	viral cRNA	BJ/255/09	China	Beijing	Asia	2009	4	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732153.1	GU732153	Human respirovirus 3	viral cRNA	BJ/258/09	China	Beijing	Asia	2009	4	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732154.1	GU732154	Human respirovirus 3	viral cRNA	BJ/262/09	China	Beijing	Asia	2009	4	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732155.1	GU732155	Human respirovirus 3	viral cRNA	BJ/266/09	China	Beijing	Asia	2009	4	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732156.1	GU732156	Human respirovirus 3	viral cRNA	BJ/270/09	China	Beijing	Asia	2009	4	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732157.1	GU732157	Human respirovirus 3	viral cRNA	BJ/279/09	China	Beijing	Asia	2009	5	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732158.1	GU732158	Human respirovirus 3	viral cRNA	BJ/291/09	China	Beijing	Asia	2009	6	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732159.1	GU732159	Human respirovirus 3	viral cRNA	BJ/296/09	China	Beijing	Asia	2009	6	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732160.1	GU732160	Human respirovirus 3	viral cRNA	BJ/306/09	China	Beijing	Asia	2009	7	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732161.1	GU732161	Human respirovirus 3	viral cRNA	BJ/308/09	China	Beijing	Asia	2009	7	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732162.1	GU732162	Human respirovirus 3	viral cRNA	BJ/312/09	China	Beijing	Asia	2009	7	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732163.1	GU732163	Human respirovirus 3	viral cRNA	BJ/322/09	China	Beijing	Asia	2009	7	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732164.1	GU732164	Human respirovirus 3	viral cRNA	BJ/323/09	China	Beijing	Asia	2009	7	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732165.1	GU732165	Human respirovirus 3	viral cRNA	BJ/324/09	China	Beijing	Asia	2009	8	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732166.1	GU732166	Human respirovirus 3	viral cRNA	BJ/325/09	China	Beijing	Asia	2009	8	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732167.1	GU732167	Human respirovirus 3	viral cRNA	BJ/327/09	China	Beijing	Asia	2009	8	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732168.1	GU732168	Human respirovirus 3	viral cRNA	BJ/328/09	China	Beijing	Asia	2009	8	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732169.1	GU732169	Human respirovirus 3	viral cRNA	BJ/333/09	China	Beijing	Asia	2009	9	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732170.1	GU732170	Human respirovirus 3	viral cRNA	BJ/338/09	China	Beijing	Asia	2009	10	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732171.1	GU732171	Human respirovirus 3	viral cRNA	BJ/341/09	China	Beijing	Asia	2009	10	NA	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
HB384724.1	HB384724	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	0	0	0	0	0	0	0	0
HB384730.1	HB384730	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	0	0	0	0	0	0	0	0
HB384815.1	HB384815	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	0	0	0	0	0	0	0
HB384816.1	HB384816	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	0	0	0	0	0	0	0	0
HB384817.1	HB384817	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	0	0	0	0	0	0	0	0
HM460886.1	HM460886	Human respirovirus 3	viral cRNA	Riyadh 11/2008	Saudi Arabia	NA	Asia	2008	NA	NA	Homo sapiens	NA	NA	1788	0	0	0	100	0	0	0	0
HM460887.1	HM460887	Human respirovirus 3	viral cRNA	Riyadh 149/2009	Saudi Arabia	NA	Asia	2009	NA	NA	Homo sapiens	NA	NA	1795	0	0	0	100	0	0	0	0
HM583801.1	HM583801	Simian Agent 10	viral cRNA	NA	South Africa	NA	Africa	1963	NA	NA	Cercopithecus mitis (samango monkey)	mouth	NA	15462	100	100	100	100	100	100	100	100
HV540155.1	HV540155	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	213	0	0	0	12.39092496	0	0	0	0
HV540156.1	HV540156	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	230	0	0	2.037037037	0	0	0	0	0
HW319625.1	HW319625	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1642	100	0	0	0	0	100	0	0
HW319626.1	HW319626	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1845	0	0	100	0	0	0	0	0
HW319628.1	HW319628	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1150	0	100	0	0	0	0	0	0
HW319629.1	HW319629	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1719	0	0	0	100	0	0	0	0
HW319630.1	HW319630	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1719	0	0	0	100	0	0	0	0
HW319631.1	HW319631	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1832	0	0	0	100	0.723033791	0	0	0
JA250464.1	JA250464	Human respirovirus 3	unassigned DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1620	0	0	100	0	0	0	0	0
JF416795.1	JF416795	Human respirovirus 3	viral cRNA	KPIV-06-3	South Korea	NA	Asia	2006	6	5	Homo sapiens	serum	NA	1719	0	0	0	100	0	0	0	0
JF416796.1	JF416796	Human respirovirus 3	viral cRNA	KPIV-06-4	South Korea	NA	Asia	2006	6	7	Homo sapiens	serum	NA	1719	0	0	0	100	0	0	0	0
JF900476.1	JF900476	Human respirovirus 3	viral cRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hPiV3/RPB_301	385	0	0	0	0	5.744553865	0	0	0
JF900477.1	JF900477	Human respirovirus 3	viral cRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hPiV3/RPB_331	385	0	0	0	0	5.744553865	0	0	0
JF900478.1	JF900478	Human respirovirus 3	viral cRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hPiV3/RPB_1750	385	0	0	0	0	5.744553865	0	0	0
JF900479.1	JF900479	Human respirovirus 3	viral cRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hPiV3/GRP_E276	385	0	0	0	0	5.744553865	0	0	0
JF900480.1	JF900480	Human respirovirus 3	viral cRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hPiV3/GRP_E376	385	0	0	0	0	5.744553865	0	0	0
JF900481.1	JF900481	Human respirovirus 3	viral cRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hPiV3/GRP_E381	385	0	0	0	0	5.744553865	0	0	0
JF900482.1	JF900482	Human respirovirus 3	viral cRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hPiV3/GRP_E503	385	0	0	0	0	5.744553865	0	0	0
JF912197.1	JF912197	Human respirovirus 3	viral cRNA	Oklahoma/410/2009	USA	NA	NorthAm	2009	NA	NA	Homo sapiens	NA	NA	1719	0	0	0	100	0	0	0	0
JF912198.1	JF912198	Human respirovirus 3	viral cRNA	Oklahoma/754/2009	USA	NA	NorthAm	2009	NA	NA	Homo sapiens	NA	NA	1719	0	0	0	100	0	0	0	0
JN089924.1	JN089924	Human respirovirus 3	mRNA	Washington/1957 C243	NA	NA	NA	1957	NA	NA	NA	NA	NA	1721	0	0	0	100	0	0	0	0
JQ268862.1	JQ268862	Human respirovirus 3	mRNA	NA	Nicaragua	NA	CentralAm	2007	4	NA	Homo sapiens	pharingeal swab	FLU7478	352	0	0	0	20.47702152	0	0	0	0
JQ268863.1	JQ268863	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2007	8	NA	Homo sapiens	pharingeal swab	FLU7640	352	0	0	0	20.47702152	0	0	0	0
JQ268864.1	JQ268864	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2007	9	NA	Homo sapiens	pharingeal swab	FLU8347	352	0	0	0	20.47702152	0	0	0	0
JQ268865.1	JQ268865	Human respirovirus 3	mRNA	NA	Colombia	NA	SouthAm	2010	3	NA	Homo sapiens	pharingeal swab	FLI2812	352	0	0	0	20.47702152	0	0	0	0
JQ268866.1	JQ268866	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2006	10	NA	Homo sapiens	pharingeal swab	FLU4337	352	0	0	0	20.47702152	0	0	0	0
JQ268867.1	JQ268867	Human respirovirus 3	mRNA	NA	Paraguay	NA	SouthAm	2009	7	NA	Homo sapiens	pharingeal swab	FLE1611	352	0	0	0	20.47702152	0	0	0	0
JQ268868.1	JQ268868	Human respirovirus 3	mRNA	NA	Nicaragua	NA	CentralAm	2009	2	NA	Homo sapiens	pharingeal swab	FLA7123	352	0	0	0	20.47702152	0	0	0	0
JQ268869.1	JQ268869	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2008	8	NA	Homo sapiens	pharingeal swab	FLA3642	352	0	0	0	20.47702152	0	0	0	0
JQ268870.1	JQ268870	Human respirovirus 3	mRNA	NA	Ecuador	NA	SouthAm	2008	1	NA	Homo sapiens	pharingeal swab	FLU9830	352	0	0	0	20.36067481	0	0	0	0
JQ268871.1	JQ268871	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2006	8	NA	Homo sapiens	pharingeal swab	FLU4187	352	0	0	0	20.47702152	0	0	0	0
JQ268872.1	JQ268872	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2009	4	NA	Homo sapiens	pharingeal swab	FLA6722	352	0	0	0	20.47702152	0	0	0	0
JQ268873.1	JQ268873	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2006	9	NA	Homo sapiens	pharingeal swab	FLU4381	352	0	0	0	20.47702152	0	0	0	0
JQ268874.1	JQ268874	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2006	9	NA	Homo sapiens	pharingeal swab	FLU4259	352	0	0	0	20.47702152	0	0	0	0
JQ268875.1	JQ268875	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2010	3	NA	Homo sapiens	pharingeal swab	FLE9499	352	0	0	0	20.47702152	0	0	0	0
JQ268876.1	JQ268876	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2006	8	NA	Homo sapiens	pharingeal swab	FLU4181	352	0	0	0	20.47702152	0	0	0	0
JQ268877.1	JQ268877	Human respirovirus 3	mRNA	NA	Venezuela	NA	SouthAm	2009	2	NA	Homo sapiens	pharingeal swab	FLA6571	352	0	0	0	20.47702152	0	0	0	0
JQ268878.1	JQ268878	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2009	6	NA	Homo sapiens	pharingeal swab	FLA7790	352	0	0	0	20.47702152	0	0	0	0
JQ268879.1	JQ268879	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2009	4	NA	Homo sapiens	pharingeal swab	FLA6713	352	0	0	0	20.47702152	0	0	0	0
JQ268880.1	JQ268880	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2007	9	NA	Homo sapiens	pharingeal swab	FLU8594	352	0	0	0	20.47702152	0	0	0	0
JQ268881.1	JQ268881	Human respirovirus 3	mRNA	NA	Venezuela	NA	SouthAm	2007	2	NA	Homo sapiens	pharingeal swab	FLU5936	352	0	0	0	20.47702152	0	0	0	0
JQ268882.1	JQ268882	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2007	6	NA	Homo sapiens	pharingeal swab	FLU6838	352	0	0	0	20.47702152	0	0	0	0
JQ268883.1	JQ268883	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2010	4	NA	Homo sapiens	pharingeal swab	FLE9554	352	0	0	0	20.47702152	0	0	0	0
JQ268884.1	JQ268884	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2007	5	NA	Homo sapiens	pharingeal swab	FLU6817	352	0	0	0	20.47702152	0	0	0	0
JQ268885.1	JQ268885	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2009	6	NA	Homo sapiens	pharingeal swab	FLA8335	352	0	0	0	20.47702152	0	0	0	0
JQ268886.1	JQ268886	Human respirovirus 3	mRNA	NA	Argentina	NA	SouthAm	2008	10	NA	Homo sapiens	pharingeal swab	FLA4656	352	0	0	0	20.47702152	0	0	0	0
JQ268887.1	JQ268887	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2009	5	NA	Homo sapiens	pharingeal swab	FLA6503	352	0	0	0	20.47702152	0	0	0	0
JQ268888.1	JQ268888	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2008	7	NA	Homo sapiens	pharingeal swab	FLA3200	352	0	0	0	20.47702152	0	0	0	0
JQ268889.1	JQ268889	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2006	11	NA	Homo sapiens	pharingeal swab	FLU4714	352	0	0	0	20.47702152	0	0	0	0
JQ268890.1	JQ268890	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2009	7	NA	Homo sapiens	pharingeal swab	FLA9806	352	0	0	0	20.47702152	0	0	0	0
JQ268891.1	JQ268891	Human respirovirus 3	mRNA	NA	Argentina	NA	SouthAm	2007	7	NA	Homo sapiens	pharingeal swab	FLU7587	352	0	0	0	20.47702152	0	0	0	0
JQ268892.1	JQ268892	Human respirovirus 3	mRNA	NA	Argentina	NA	SouthAm	2007	1	NA	Homo sapiens	pharingeal swab	FLU5553	352	0	0	0	20.47702152	0	0	0	0
JQ268893.1	JQ268893	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2007	10	NA	Homo sapiens	pharingeal swab	FLU9628	352	0	0	0	20.47702152	0	0	0	0
JQ268894.1	JQ268894	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2007	10	NA	Homo sapiens	pharingeal swab	FLU8613	352	0	0	0	20.47702152	0	0	0	0
JQ268895.1	JQ268895	Human respirovirus 3	mRNA	NA	Bolivia	NA	SouthAm	2008	12	NA	Homo sapiens	pharingeal swab	FFLE6222	352	0	0	0	20.47702152	0	0	0	0
JQ268896.1	JQ268896	Human respirovirus 3	mRNA	NA	Peru	NA	SouthAm	2010	5	NA	Homo sapiens	pharingeal swab	CFI00326	352	0	0	0	20.47702152	0	0	0	0
JQ268897.1	JQ268897	Human respirovirus 3	mRNA	NA	Nicaragua	NA	CentralAm	2010	3	NA	Homo sapiens	pharingeal swab	FLE9444	352	0	0	0	20.47702152	0	0	0	0
JQ268898.1	JQ268898	Human respirovirus 3	mRNA	NA	Colombia	NA	SouthAm	2008	7	NA	Homo sapiens	pharingeal swab	FLA3923	352	0	0	0	20.47702152	0	0	0	0
JQ901411.1	JQ901411	Human respirovirus 3	viral cRNA	NA	India	NA	Asia	2011	NA	NA	Homo sapiens	throat swab	Para_flu_che_1_2011	201	0	0	0	11.69284468	0	0	0	0
JQ901412.1	JQ901412	Human respirovirus 3	viral cRNA	NA	India	NA	Asia	2011	NA	NA	Homo sapiens	throat swab	Para_flu_che_2_2011	206	0	0	0	11.98371146	0	0	0	0
JQ901413.1	JQ901413	Human respirovirus 3	viral cRNA	NA	India	NA	Asia	2011	NA	NA	Homo sapiens	throat swab	Para_flu_che_3_2011	206	0	0	0	11.98371146	0	0	0	0
JX131646.1	JX131646	Human respirovirus 3	viral cRNA	Riyadh 45/2008	Saudi Arabia	Riyadh	Asia	2008	3	16	Homo sapiens; male	nasopharynx	NA	1719	0	0	0	100	0	0	0	0
JX131647.1	JX131647	Human respirovirus 3	viral cRNA	Riyadh 50/2008	Saudi Arabia	Riyadh	Asia	2008	4	12	Homo sapiens; male	nasopharynx	NA	1719	0	0	0	100	0	0	0	0
JX131648.1	JX131648	Human respirovirus 3	viral cRNA	Riyadh 119/2009	Saudi Arabia	Riyadh	Asia	2009	1	18	Homo sapiens; male	nasopharynx	NA	1719	0	0	0	100	0	0	0	0
JX131649.1	JX131649	Human respirovirus 3	viral cRNA	Riyadh 63/2008	Saudi Arabia	NA	Asia	2008	11	21	Homo sapiens	nasopharynx	NA	1719	0	0	0	100	0	0	0	0
KC513528.1	KC513528	Human respirovirus 3	viral cRNA	NA	Indonesia	NA	Asia	2011	4	1	Homo sapiens	nasal and throat swab	IDSKAHPIV3-1	717	0	0	0	41.71029668	0	0	0	0
KF217146.1	KF217146	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	6	12	Homo sapiens	NA	HSJD1015	1703	0	0	0	99.06922629	0	0	0	0
KF217147.1	KF217147	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	6	16	Homo sapiens	NA	HSJD1018	1703	0	0	0	99.06922629	0	0	0	0
KF217148.1	KF217148	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	5	Homo sapiens	NA	HSJD1027	1703	0	0	0	99.06922629	0	0	0	0
KF217149.1	KF217149	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	6	Homo sapiens	NA	HSJD1028	1703	0	0	0	99.06922629	0	0	0	0
KF217150.1	KF217150	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	9	Homo sapiens	NA	HSJD1031	1703	0	0	0	99.06922629	0	0	0	0
KF217151.1	KF217151	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	9	Homo sapiens	NA	HSJD1033	1703	0	0	0	99.06922629	0	0	0	0
KF217152.1	KF217152	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	12	Homo sapiens	NA	HSJD1036	1703	0	0	0	99.06922629	0	0	0	0
KF217153.1	KF217153	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	10	Homo sapiens	NA	HSJD1037	1703	0	0	0	99.06922629	0	0	0	0
